Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium,Segmentation_segment_IPH
diagnostics,Versions,PyRadiomics,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23,v3.0.1.post15+g2791e23
diagnostics,Versions,Numpy,1.22.1,1.22.1,1.22.1,1.22.1
diagnostics,Versions,SimpleITK,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15,2.2.0rc2.post15
diagnostics,Versions,PyWavelet,1.4.1,1.4.1,1.4.1,1.4.1
diagnostics,Versions,Python,3.9.10,3.9.10,3.9.10,3.9.10
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
diagnostics,Configuration,EnabledImageTypes,"{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
diagnostics,Image-original,Hash,1e0a9700537e80d2d30c4bdddc1aba14f0ec3863,1e0a9700537e80d2d30c4bdddc1aba14f0ec3863,1e0a9700537e80d2d30c4bdddc1aba14f0ec3863,1e0a9700537e80d2d30c4bdddc1aba14f0ec3863
diagnostics,Image-original,Dimensionality,3D,3D,3D,3D
diagnostics,Image-original,Spacing,"(0.44335937499999994, 0.44335937499999994, 2.0)","(0.44335937499999994, 0.44335937499999994, 2.0)","(0.44335937499999994, 0.44335937499999994, 2.0)","(0.44335937499999994, 0.44335937499999994, 2.0)"
diagnostics,Image-original,Size,"(512, 512, 176)","(512, 512, 176)","(512, 512, 176)","(512, 512, 176)"
diagnostics,Image-original,Mean,-469.0709812,-469.0709812,-469.0709812,-469.0709812
diagnostics,Image-original,Minimum,-1024,-1024,-1024,-1024
diagnostics,Image-original,Maximum,3071,3071,3071,3071
diagnostics,Mask-original,Hash,45320a9da80128e2aa86f37b67112f9419a2dc76,ddf9a97954ff3d1e16d39f41c7f9c0bc6ef0cfbd,59de5415d94d676c1f48f62ed6b870300c0bfd35,618d5291687682874f74caf570466d0f9b36371f
diagnostics,Mask-original,Spacing,"(0.44335937499999994, 0.44335937499999994, 2.0)","(0.44335937499999994, 0.44335937499999994, 2.0)","(0.44335937499999994, 0.44335937499999994, 2.0)","(0.44335937499999994, 0.44335937499999994, 2.0)"
diagnostics,Mask-original,Size,"(512, 512, 176)","(512, 512, 176)","(512, 512, 176)","(512, 512, 176)"
diagnostics,Mask-original,BoundingBox,"(288, 228, 92, 31, 43, 45)","(289, 228, 91, 35, 40, 44)","(303, 237, 91, 21, 13, 2)","(294, 252, 121, 7, 8, 6)"
