"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Fibrous","Segmentation_segment_Calcium"
"diagnostics","Versions","PyRadiomics","v3.0.1.post15+g2791e23","v3.0.1.post15+g2791e23","v3.0.1.post15+g2791e23","v3.0.1.post15+g2791e23"
"diagnostics","Versions","Numpy","1.22.1","1.22.1","1.22.1","1.22.1"
"diagnostics","Versions","SimpleITK","2.2.0rc2.post15","2.2.0rc2.post15","2.2.0rc2.post15","2.2.0rc2.post15"
"diagnostics","Versions","PyWavelet","1.3.0","1.3.0","1.3.0","1.3.0"
"diagnostics","Versions","Python","3.9.10","3.9.10","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}","{'Original': {}, 'LoG': {'sigma': [1.0, 3.0, 5.0]}}"
"diagnostics","Image-original","Hash","48bdbb622877e445b53ef51f2985529d59521d85","48bdbb622877e445b53ef51f2985529d59521d85","48bdbb622877e445b53ef51f2985529d59521d85","48bdbb622877e445b53ef51f2985529d59521d85"
"diagnostics","Image-original","Dimensionality","3D","3D","3D","3D"
"diagnostics","Image-original","Spacing","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
"diagnostics","Image-original","Size","(512, 512, 180)","(512, 512, 180)","(512, 512, 180)","(512, 512, 180)"
"diagnostics","Image-original","Mean","-768.406669277615","-768.406669277615","-768.406669277615","-768.406669277615"
"diagnostics","Image-original","Minimum","-2048.0","-2048.0","-2048.0","-2048.0"
"diagnostics","Image-original","Maximum","5403.0","5403.0","5403.0","5403.0"
"diagnostics","Mask-original","Hash","16c4fb650cb42382919431ce2547266e7081e11f","8215b9702941a4a2e0b041e04029fd4bff337ab2","2f44915e6466351800a14e6f5c163b4376e0f87e","f63709400c9ecaeff77a171cb3ec6e34454f7f7b"
"diagnostics","Mask-original","Spacing","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)","(0.507, 0.507, 2.0)"
"diagnostics","Mask-original","Size","(512, 512, 180)","(512, 512, 180)","(512, 512, 180)","(512, 512, 180)"
"diagnostics","Mask-original","BoundingBox","(305, 210, 78, 32, 39, 10)","(299, 210, 78, 40, 40, 10)","(306, 211, 78, 29, 35, 10)","(312, 233, 80, 21, 13, 6)"
"diagnostics","Mask-original","VoxelNum","664","920","1448","320"
"diagnostics","Mask-original","VolumeNum","12","20","4","1"
